 format: day,day,forecast,value location:59_125 Start : 20210801 ,value location:59_125 Start : 20220801 ,value location:59_125 Start : 20200801 
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
,,,,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
7,7,1,0,,
7,7,2,0,,
7,7,3,0,,
7,7,4,0,,
7,7,5,0,,
7,7,6,0,,
,,,,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0.1,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,3.9,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,0,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0.5,,
8,8,1,4.1,,
8,8,2,3.4,,
8,8,3,1.7,,
8,8,4,1.7,,
8,8,5,0,,
8,8,6,0,,
8,8,1,2.7,,
8,8,2,1.4,,
8,8,3,0.2,,
8,8,4,1.7,,
8,8,5,3.7,,
8,8,6,0.3,,
8,8,1,21.799999,,
8,8,2,6.7,,
8,8,3,0.6,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,1,,
8,8,2,0.7,,
8,8,3,0.1,,
8,8,4,0,,
8,8,5,0,,
8,8,6,0,,
8,8,1,2.1,,
8,8,2,3,,
8,8,3,1.8,,
8,8,4,0.4,,
8,8,5,0.1,,
8,8,6,0,,
8,8,1,1.1,,
8,8,2,0,,
8,8,3,0,,
8,8,4,0,,
